akiec,bcc,bkl,df,mel,nv,vasc,dx
0.000541717,0.08543063,0.00036016,0.00154301,0.00402374,0.90809005,1.07E-05,nv
0.000774431,0.008295385,0.023872282,0.001222921,0.18944791,0.7763648,2.23E-05,mel
8.24E-05,0.000276877,0.02248645,0.000124427,0.001642029,0.9753627,2.51E-05,nv
3.68E-05,0.000201685,0.4102233,0.026026964,0.06757904,0.49589428,3.80E-05,nv
1.59E-08,3.12E-07,1.36E-06,2.70E-08,0.000125272,0.000146675,0.99972636,vasc
4.77E-05,1.67E-05,0.99749655,3.91E-05,0.000225168,0.002174404,4.36E-07,bkl
0.85031676,0.003101065,0.1303512,0.006059662,0.008317463,0.001847759,6.06E-06,scc
4.17E-05,0.003808311,0.02424006,0.000791941,0.008787349,0.96231395,1.67E-05,nv
2.38E-05,0.001587736,0.11538966,5.04E-05,0.007231523,0.8756998,1.70E-05,nv
1.76E-10,1.83E-07,2.70E-08,3.92E-09,6.55E-06,1.28E-05,0.99998045,vasc
1.84E-05,0.005785146,0.73848283,0.003122152,0.011404222,0.24116573,2.16E-05,nv
3.49E-05,7.67E-05,0.00083866,0.000138287,0.01396594,0.98494357,1.83E-06,nv
6.42E-07,1.93E-05,0.000114944,5.17E-05,0.013903738,0.98586535,4.42E-05,nv
0.000114909,3.11E-05,0.004773137,0.00016538,0.001784531,0.9930962,3.48E-05,nv
0.001720233,0.000118258,0.1959538,0.000147912,0.001707253,0.8003436,9.10E-06,nv
0.000242577,0.000210628,0.9964463,0.000220813,0.000534158,0.002340776,4.78E-06,bkl
0.004409783,0.003600359,0.98067445,5.42E-05,0.009450185,0.001808911,2.11E-06,bkl
5.14E-09,1.13E-07,0.99999,6.78E-08,2.99E-07,9.47E-06,2.62E-09,bkl
0.000294411,0.001076466,0.020272987,0.002498973,0.000127911,0.9757062,2.30E-05,nv
0.003056569,0.4879195,0.026261581,0.002350152,0.001159617,0.47914085,0.00011175,nv
7.33E-08,9.23E-09,2.53E-07,0.99999654,4.18E-07,2.77E-06,4.20E-09,df
7.89E-06,8.80E-05,0.035064366,0.000690731,0.07207522,0.89207333,4.83E-07,nv
0.002648813,0.002361193,0.9828234,0.001173331,0.000974025,0.009990225,2.89E-05,nv
8.84E-05,0.000947877,0.2922191,0.029291857,0.001432039,0.6759816,3.92E-05,nv
0.000200086,3.83E-05,0.093372025,0.000110243,0.004801373,0.90147483,3.05E-06,nv
0.000142838,0.007739891,0.24126601,0.034262005,0.007975528,0.70843667,0.000177006,nv
6.24E-07,1.42E-05,7.98E-05,8.10E-05,0.001740541,0.9980782,5.57E-06,nv
0.000104264,0.002403149,0.2904338,0.001433753,0.005645583,0.69996184,1.76E-05,nv
6.92E-05,4.90E-05,0.002900982,0.000125047,0.023799257,0.973044,1.26E-05,nv
0.005774381,0.003437319,0.07256631,0.5332696,0.05918136,0.3251341,0.000636918,nv
2.28E-09,5.11E-09,1.32E-08,0.99999917,1.12E-07,6.84E-07,1.77E-09,df
0.000668362,2.75E-05,0.15491429,4.02E-05,0.003641609,0.8406647,4.34E-05,nv
7.72E-06,0.000455283,0.001593515,0.001183331,0.001167295,0.995583,9.83E-06,nv
3.32E-05,0.003685475,0.007298261,0.038534705,0.00742151,0.9430197,7.15E-06,nv
0.000564582,0.002383145,0.94965464,4.45E-05,0.034072254,0.013277125,3.89E-06,mel
5.26E-06,1.61E-05,0.009698235,0.000202955,0.000378737,0.9896951,3.58E-06,nv
3.03E-10,4.11E-08,9.78E-08,1.21E-08,1.25E-05,3.45E-05,0.9999528,vasc
3.72E-05,0.99773645,0.000378568,1.13E-05,0.000739879,0.00108933,7.22E-06,bcc
1.86E-07,8.74E-05,0.000358003,0.000479179,0.000196705,0.99887234,6.16E-06,nv
2.52E-06,0.000247439,0.000382465,7.38E-05,0.000387723,0.9989028,3.31E-06,nv
8.22E-06,0.01167178,0.000257996,0.000100389,0.019467434,0.96848595,8.14E-06,nv
1.53E-05,0.001039262,0.059409905,0.000404864,0.002489805,0.93663824,2.53E-06,nv
0.00045239,4.52E-05,0.9974891,2.38E-05,0.000600814,0.001388075,6.12E-07,bkl
0.000355286,8.47E-05,0.9971727,0.000116929,0.000121754,0.002146217,2.43E-06,bkl
0.000140046,0.015542987,0.011683518,0.002144788,0.03363965,0.936834,1.51E-05,mel
8.47E-05,0.9837316,0.000185211,3.63E-05,0.000368196,0.015545007,4.91E-05,bcc
0.10973056,0.001778503,0.84907794,0.000244636,0.002558552,0.036574166,3.56E-05,bkl
7.14E-06,0.000872074,0.004122836,0.014036811,0.003830208,0.97694707,0.000183867,nv
1.59E-06,7.06E-06,0.001930728,2.70E-05,0.001117669,0.9969151,8.92E-07,nv
2.85E-05,0.000101669,0.14464435,0.000904491,0.0497515,0.8044726,9.68E-05,nv
0.00081828,0.000866278,0.24323727,0.005636345,0.058110047,0.69132346,8.29E-06,nv
9.62E-06,1.49E-05,0.9678161,3.20E-05,0.00010567,0.03202145,3.36E-07,nv
0.005019615,0.005809737,0.18876243,0.000805204,0.056089222,0.74348295,3.09E-05,scc
6.67E-06,2.44E-05,0.000702073,0.000192259,0.000775547,0.99829024,8.77E-06,nv
0.000136667,6.23E-06,0.9853694,1.25E-07,3.26E-05,0.01445473,1.79E-07,bkl
7.09E-06,1.99E-05,0.109782584,2.02E-05,0.000264012,0.889902,4.22E-06,nv
0.002827729,0.001147847,0.91862744,0.000161479,0.0016219,0.07560151,1.20E-05,bkl
5.39E-06,2.26E-05,0.00426528,8.76E-05,0.001878485,0.9937396,1.13E-06,nv
0.07637471,0.011280444,0.8728274,0.000276826,0.017264606,0.02192587,5.02E-05,nv
0.08652706,0.001957269,0.59023166,0.02515652,0.002314288,0.29374477,6.84E-05,nv
0.000127855,0.000167519,0.97135466,1.16E-06,0.000800363,0.027545094,3.34E-06,bkl
0.000131814,0.000302774,0.82549137,0.005724226,0.000929098,0.1673998,2.08E-05,nv
3.99E-05,0.001500191,0.27639392,0.000176889,0.016749274,0.70512825,1.17E-05,nv
6.85E-06,6.11E-06,0.002589063,5.71E-05,0.1939019,0.8034374,1.53E-06,nv
2.12E-06,0.000424707,7.03E-05,1.98E-05,0.000753364,0.998727,2.83E-06,nv
0.000159299,0.9832999,0.009370855,4.39E-05,0.002457296,0.0046359,3.29E-05,bcc
4.55E-05,0.7808876,0.000834844,0.000140063,0.001750346,0.21622494,0.000116667,bcc
2.45E-05,0.000258863,0.121101156,0.000879251,0.001524827,0.8762071,4.34E-06,nv
1.32E-06,4.20E-05,0.000861207,3.87E-05,0.000149269,0.99890304,4.45E-06,nv
0.000338482,7.76E-05,0.98852634,3.00E-05,0.009878657,0.001148544,3.95E-07,bkl
2.41E-07,0.9996389,5.26E-06,1.83E-06,4.66E-06,0.00034068,8.44E-06,bcc
1.03E-05,0.000123578,0.007581357,0.001421444,0.011655031,0.97920495,3.38E-06,nv
1.38E-05,0.000578402,0.000689241,0.002274782,0.00195497,0.99445903,2.98E-05,nv
0.07778,0.000491237,0.7463353,0.001131623,0.0318594,0.14236376,3.87E-05,nv
7.56E-05,0.000922745,0.035032783,0.007058857,0.001791124,0.9551115,7.31E-06,nv
0.001442053,0.000310543,0.058256894,0.002339539,0.007692572,0.9299416,1.69E-05,nv
3.72E-06,0.001956794,0.000109299,3.17E-05,0.000423774,0.99742883,4.60E-05,nv
4.14E-07,0.998384,9.07E-06,6.83E-07,4.68E-05,0.001489154,6.99E-05,bcc
1.05E-06,9.09E-05,0.001658038,0.000329875,0.00211076,0.99580365,5.66E-06,nv
0.000124743,9.21E-05,0.9870837,1.43E-05,5.16E-05,0.012632766,8.00E-07,bkl
6.15E-05,1.75E-05,0.9947537,0.002048938,0.000227043,0.002875287,1.61E-05,bkl
0.00030335,0.00102119,0.015194854,0.000257423,0.002222684,0.98099375,6.81E-06,nv
2.96E-05,0.9976954,0.00156187,6.70E-06,0.000198901,0.00050218,5.36E-06,bcc
0.000194057,9.00E-05,0.72580063,0.013406456,0.23505558,0.025410559,4.27E-05,mel
0.73111635,0.06257145,0.20392402,8.71E-05,0.001234156,0.001065373,1.57E-06,scc
0.000143539,0.003848046,0.03239428,0.38976005,0.13084082,0.44251356,0.000499806,nv
9.14E-07,0.9987237,6.59E-05,2.92E-06,1.42E-05,0.00118882,3.55E-06,bcc
5.44E-05,4.49E-06,0.99967253,4.94E-07,1.79E-05,0.000250136,4.55E-08,bkl
0.000606221,0.9935243,0.002335797,0.000157879,0.000251226,0.003085584,3.90E-05,bcc
1.17E-05,0.0033323,0.000502142,0.01473152,0.00039569,0.9808631,0.000163457,nv
0.001651239,0.000499707,0.23973776,0.000596069,0.002686919,0.7548029,2.54E-05,nv
2.10E-06,0.9999331,4.77E-05,3.65E-08,1.40E-05,3.01E-06,1.22E-08,bcc
2.22E-05,1.68E-06,0.9726643,7.72E-07,0.001134695,0.026133863,4.26E-05,nv
0.000979204,0.00023381,0.6374503,0.009873784,0.07205696,0.2792166,0.000189371,mel
0.000165616,0.02901299,0.11710658,0.005124351,0.06505816,0.78342617,0.000106152,nv
1.59E-05,0.99953043,4.77E-05,2.91E-06,1.42E-05,0.000385231,3.72E-06,bcc
5.40E-06,2.02E-05,0.019092716,0.000486665,0.044626124,0.9357576,1.13E-05,nv
0.72081405,0.027541878,0.242025,0.000278516,0.005460152,0.003870425,9.92E-06,scc
0.00010332,7.54E-05,0.14306347,0.000996506,0.006412988,0.84917223,0.000176096,nv
4.21E-05,0.00032429,0.6418993,0.036191925,0.005638175,0.31583998,6.42E-05,nv
0.002298359,0.001252701,0.9590728,0.000129688,0.000642503,0.036599338,4.72E-06,nv
0.000143172,0.001748423,0.009331062,0.001323012,0.001813883,0.9856371,3.19E-06,nv
0.36299184,0.61302066,0.022132643,3.56E-05,0.00149026,0.000324159,4.85E-06,akiec
0.0058514,0.011254758,0.14640097,0.046761736,0.057983357,0.73132396,0.000423831,nv
0.13930716,0.09708209,0.7271805,0.00516573,0.010551886,0.020628287,8.44E-05,akiec
2.00E-06,3.05E-06,0.99579227,0.001529383,8.63E-05,0.002583501,3.40E-06,bkl
1.76E-06,0.9994148,0.0001544,7.13E-07,0.000216236,0.000198146,1.39E-05,bcc
0.003999433,0.007980268,0.91451406,0.003623378,0.008878731,0.06099502,9.17E-06,nv
0.000155469,2.73E-05,0.94953614,0.000939901,0.000153622,0.049172856,1.46E-05,nv
2.22E-09,2.35E-07,2.03E-07,1.81E-08,6.73E-06,2.52E-05,0.9999676,vasc
7.05E-05,0.000600145,0.97196805,9.23E-06,0.009102685,0.018247467,1.88E-06,nv
4.74E-05,4.43E-05,0.9993031,1.24E-06,0.000385434,0.000218312,2.69E-07,bkl
0.000246869,0.002894942,0.007903121,0.001182189,0.001478357,0.9862829,1.17E-05,nv
4.92E-07,0.000276599,0.000974731,5.54E-05,0.013225657,0.98545754,9.61E-06,nv
0.014656415,0.001452551,0.6805689,0.006081184,0.2564147,0.033338062,0.007488227,nv
0.0027479,0.0257792,0.041970205,0.020545568,0.014623879,0.8938018,0.00053139,mel
0.001672771,0.00104919,0.295202,0.00019535,0.6826433,0.019218164,1.93E-05,mel
6.04E-06,0.000457976,0.01152381,0.00579342,0.001610361,0.9805988,9.62E-06,nv
0.001795041,0.001944431,0.18376476,0.001236828,0.08268047,0.7285151,6.34E-05,nv
0.002561249,0.000432941,0.9093421,3.67E-05,0.000150547,0.087462954,1.35E-05,nv
0.000197018,0.002493216,0.005850432,0.019403776,0.001484096,0.9705521,1.94E-05,nv
6.67E-07,0.000186439,0.000122133,0.000321684,0.000627539,0.9987363,5.19E-06,nv
0.000819352,0.009369759,0.20751937,0.17260079,0.005857465,0.6036691,0.000164168,nv
0.016246151,0.000264102,0.97965664,0.00018618,0.000148712,0.003483614,1.46E-05,bkl
0.000121066,0.000162815,0.992851,2.69E-06,0.006714955,0.000147322,1.46E-07,bkl
0.00035272,0.000980754,0.4641092,0.000237183,0.006771783,0.5274763,7.21E-05,nv
2.10E-05,0.000301194,0.49239272,0.00241927,0.043551777,0.4613068,7.23E-06,nv
8.83E-05,0.002964525,0.98182064,5.91E-05,0.011881695,0.00312616,5.95E-05,nv
9.36E-06,1.29E-08,0.99477285,8.52E-09,0.000445389,0.004772114,2.12E-07,bkl
0.00084151,0.002284816,0.66173625,0.000337381,0.010938178,0.32383373,2.82E-05,bkl
6.48E-05,0.001086376,0.049331497,0.001573829,0.23138887,0.71650463,5.00E-05,mel
0.000834867,0.000516774,0.44073242,0.000208941,0.10077753,0.45688143,4.80E-05,nv
0.000298869,6.25E-05,0.99855465,8.28E-06,0.000269901,0.000805447,3.15E-07,bkl
0.000240547,0.000324614,0.11670356,0.005644091,0.000559993,0.87650466,2.25E-05,nv
1.67E-06,0.000317453,0.006075203,0.000379894,0.001450094,0.9917715,4.18E-06,nv
7.60E-06,8.56E-05,0.040355586,0.002822798,0.001497007,0.9552278,3.62E-06,nv
6.56E-06,6.45E-05,0.001479471,0.000709573,0.002113729,0.99562246,3.64E-06,nv
0.000107597,0.011270599,0.06796356,0.000283754,0.035512596,0.8848415,2.05E-05,nv
2.11E-06,0.99965537,2.04E-05,6.57E-08,0.000191655,0.000116343,1.40E-05,bcc
0.001129141,0.000453171,0.9947897,5.90E-05,0.000314767,0.003252327,1.90E-06,bkl
6.25E-06,0.000503835,0.000190134,0.000568747,0.001638646,0.9970847,7.73E-06,nv
2.53E-05,0.000232128,0.003169745,5.05E-05,0.002412056,0.99410796,2.33E-06,nv
1.38E-05,0.000848266,0.000542546,5.65E-05,0.014908539,0.98361707,1.33E-05,nv
7.66E-06,0.000271811,0.000355133,2.93E-05,0.000897017,0.9984322,6.79E-06,nv
3.43E-06,0.000438957,0.000985962,0.003167481,0.000470843,0.99492997,3.40E-06,nv
0.85520303,0.053308796,0.07755616,0.006482729,0.000919282,0.006514087,1.59E-05,akiec
0.001115364,0.010101373,0.07321226,0.087741755,0.003661636,0.823656,0.000511617,nv
1.37E-05,0.000758897,0.11381099,0.006354792,0.000363801,0.87863487,6.31E-05,nv
0.000390918,3.61E-05,0.001490327,0.000103286,0.17565732,0.8222861,3.58E-05,nv
1.05E-05,0.96548593,0.031204509,6.32E-06,0.003172837,0.000111441,8.46E-06,bcc
0.013031543,0.00013191,0.7368323,0.000307295,0.012587604,0.23709697,1.24E-05,mel
0.44984096,0.25574,0.2428191,0.002216667,0.008308589,0.04106569,9.00E-06,scc
0.005671776,0.046507318,0.00577259,0.00116732,0.12494345,0.81590545,3.20E-05,nv
2.92E-05,0.000664744,0.001046172,0.00039882,0.005527544,0.99232274,1.10E-05,nv
1.04E-05,0.002813994,0.000221835,0.001095348,0.002095814,0.9937575,5.11E-06,nv
0.000194107,0.009383313,0.1322857,0.001678343,0.003737454,0.85271174,9.37E-06,nv
0.0653637,0.006436961,0.9114425,0.000520628,0.000986582,0.015237812,1.18E-05,scc
0.001591504,0.000177193,0.91048044,0.028974218,0.002741423,0.055836726,0.000198537,nv
2.60E-05,0.00055914,0.007737027,0.000157325,0.35193348,0.63956916,1.79E-05,nv
0.000440013,9.03E-05,0.9879403,1.64E-05,0.006875138,0.00463664,1.21E-06,mel
8.20E-07,0.000220635,0.00301524,6.93E-05,0.001489716,0.9952029,1.35E-06,nv
0.000232563,0.000781016,0.6062104,0.000402185,0.009674788,0.3826887,1.03E-05,nv
0.000169908,0.004920676,0.014243563,0.15695876,0.001615026,0.8219662,0.000125896,nv
6.36E-05,0.001468857,0.002439507,0.010351945,0.002725239,0.9829472,3.76E-06,nv
0.000155375,0.001922766,0.011383774,0.00025201,0.000219049,0.9860648,2.22E-06,nv
2.22E-05,8.25E-05,0.004388087,3.13E-05,0.000138643,0.99533254,4.82E-06,nv
0.001157808,0.000872946,0.049729995,0.001373239,0.000407001,0.9464423,1.67E-05,nv
1.35E-05,0.10273911,0.00110434,0.000101881,0.005047659,0.89095324,4.03E-05,nv
6.65E-06,3.12E-05,0.6651936,0.001847763,0.005542009,0.327374,4.70E-06,nv
1.85E-06,4.69E-06,0.003716356,1.93E-05,0.008242065,0.98799676,1.89E-05,nv
7.58E-05,0.002209854,0.057131108,0.003859862,0.09087759,0.845833,1.29E-05,nv
0.000180825,0.002212046,0.003128337,0.000318063,0.97083694,0.023239512,8.42E-05,mel
3.25E-05,0.000178117,0.9634619,0.000257464,0.0008475,0.03521702,5.48E-06,nv
0.979163,0.00028048,0.012948157,0.00054698,0.003381079,0.003675351,4.94E-06,scc
2.02E-06,0.003511133,0.000486783,1.99E-05,0.04539456,0.95057935,6.26E-06,nv
1.69E-06,0.000334929,0.000256835,0.000303073,0.000908395,0.9981927,2.37E-06,nv
0.00032439,0.001089878,0.104134016,0.004381009,0.000995511,0.88902795,4.73E-05,nv
9.05E-05,0.003782483,0.015044881,0.028526736,0.077902354,0.8746034,4.96E-05,nv
0.000179894,0.000447154,0.4479727,0.29223925,0.041338585,0.21638727,0.001435144,nv
0.000383275,0.00010617,0.007089856,0.000839262,0.97437423,0.016858459,0.00034872,mel
0.00068489,0.000188494,0.96872205,3.83E-05,0.020619297,0.009744849,2.10E-06,mel
0.000106401,1.58E-06,0.99770594,2.76E-06,7.93E-05,0.002103742,1.32E-07,bkl
0.000227637,0.001973132,0.6964894,0.006086921,0.004896184,0.29030937,1.74E-05,nv
0.001164452,0.001481201,0.10883261,0.009417714,0.010172431,0.8688898,4.19E-05,nv
1.15E-05,0.9997342,0.000183,5.01E-07,1.17E-05,5.77E-05,1.40E-06,bcc
0.000728813,6.74E-05,0.80697215,0.006284411,0.003618333,0.18230714,2.18E-05,nv
0.001274095,0.000424396,0.15233263,0.001538921,0.02613668,0.81827784,1.54E-05,mel
4.47E-09,2.77E-09,6.62E-08,0.99999964,2.26E-08,2.45E-07,8.00E-10,df
0.001427995,0.000526331,0.9657101,1.97E-05,0.030968208,0.001346982,6.94E-07,mel
0.000196157,0.001027677,0.002435449,0.000988389,0.001191617,0.99099606,0.003164653,nv
0.006018093,0.26867604,0.060176287,0.037565757,0.008296953,0.6188939,0.000372922,nv
0.000327893,0.000265479,0.07300048,0.001254594,0.006564236,0.9185237,6.35E-05,nv
5.44E-05,1.51E-05,0.05180452,0.000393489,0.001440558,0.9462844,7.43E-06,nv
7.30E-06,0.000101098,0.006184067,0.000303514,0.045717925,0.94767225,1.38E-05,nv
0.001809338,0.000379411,0.09828189,0.001098575,0.038573228,0.8596083,0.000249177,nv
8.06E-06,0.005754706,0.001364404,4.27E-05,0.028269108,0.96454483,1.62E-05,nv
0.25573826,0.0232049,0.6260008,0.011619426,0.011090716,0.07233015,1.58E-05,scc
0.000148174,0.000209186,0.008088234,0.005906073,0.094846874,0.89069873,0.000102782,nv
0.000199284,0.99856853,0.001016264,7.89E-05,5.62E-06,0.000128292,3.06E-06,bcc
3.57E-05,0.002411088,0.002868318,0.20861648,0.001053516,0.7849533,6.15E-05,nv
0.001122213,0.044442482,0.1477373,0.014930111,0.001686098,0.79001474,6.71E-05,nv
1.52E-05,9.87E-05,0.007949089,0.001069082,0.001469438,0.9893857,1.28E-05,nv
3.30E-07,1.82E-05,2.31E-05,4.67E-05,0.000877372,0.999022,1.22E-05,nv
0.000153212,0.000383912,0.8429503,0.001434721,0.001542811,0.15352766,7.34E-06,nv
0.004013726,0.000950093,0.2124817,0.002190126,0.003382324,0.7769507,3.13E-05,nv
0.001363553,0.002678229,0.1790079,1.08E-05,0.8158402,0.001098267,1.05E-06,mel
1.66E-05,0.99671006,0.002948833,1.14E-06,3.47E-05,0.00026706,2.15E-05,bcc
1.19E-05,0.99379647,8.48E-05,4.52E-06,7.25E-05,0.005987615,4.23E-05,bcc
1.68E-05,0.005724066,0.030019807,0.002500925,0.000648232,0.96102375,6.64E-05,nv
0.17496152,0.001652524,0.81175554,0.000260951,0.008389419,0.002978328,1.70E-06,scc
5.15E-06,2.20E-05,0.01029542,0.003772275,0.005172736,0.9799027,0.000829754,nv
0.000592393,0.007570792,0.028266195,0.003007215,0.08121755,0.8793331,1.28E-05,nv
0.00067226,0.05835066,0.00363972,0.003576847,0.001344055,0.9323464,7.00E-05,nv
0.33984682,0.016391568,0.629751,0.001762132,0.000961952,0.01126645,2.00E-05,scc
3.55E-07,3.21E-06,0.000188013,5.13E-05,0.004398406,0.9953584,3.88E-07,nv
7.12E-05,1.21E-05,0.99914956,5.82E-06,0.00015257,0.000608174,5.93E-07,bkl
0.056744084,0.43351656,0.49982917,0.000770238,0.000117375,0.009012008,1.05E-05,bcc
5.45E-05,0.011296013,0.002707862,0.001203538,0.105622254,0.8789403,0.000175472,nv
4.78E-05,0.000880996,0.604534,0.002152104,0.04915434,0.34322357,7.22E-06,nv
1.64E-05,0.000379848,0.021550376,0.000215462,0.003371575,0.9744598,6.50E-06,nv
1.84E-05,0.001528185,0.003273493,0.03351527,0.13020144,0.8314248,3.84E-05,mel
0.000445144,4.06E-05,0.03998822,0.000311276,0.0400547,0.9187405,0.000419569,nv
2.13E-05,0.000531573,0.99513274,0.000176775,0.000700698,0.003432823,4.05E-06,nv
6.77E-06,0.000933026,0.001027331,0.006286711,0.015450817,0.9762513,4.41E-05,nv
2.61E-05,0.9980386,0.000743936,5.95E-06,0.000219938,0.000953801,1.16E-05,bcc
6.51E-06,0.000888522,0.000676148,0.000273585,0.012292638,0.98585814,4.47E-06,nv
2.95E-06,1.13E-06,0.9954397,0.000196975,0.000156936,0.004201633,7.38E-07,bkl
4.55E-05,0.000265976,0.21200228,0.001867671,0.0816436,0.7041563,1.86E-05,nv
1.22E-05,0.007412065,0.000743305,0.000183461,0.042991463,0.94863534,2.21E-05,nv
0.000288514,0.9612331,0.02237781,0.000118425,0.000675912,0.01516838,0.000138032,bcc
5.50E-05,5.60E-05,0.001535845,4.46E-05,0.05024458,0.9480581,5.84E-06,nv
0.000642506,0.019671503,0.28275165,0.000266784,0.001357743,0.69515586,0.000153902,nv
6.08E-06,4.27E-05,0.060276166,0.00232408,0.000743942,0.9366044,2.79E-06,nv
0.00802535,0.002642828,0.006985669,0.013570735,0.003237711,0.96532327,0.000214433,nv
